ISBN,Title,Author,TotalCopies
1,The C++ Programming Language,Bjarne Stroustrup,5
2,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,3
3,"Design Patterns: Elements of Reusable Object-Oriented Software",Erich Gamma et al.,4
4,Code Complete,Steve McConnell,2
5,"Introduction to Algorithms, 3rd Edition",Thomas H. Cormen et al.,5
6,Số Đỏ,Vũ Trọng Phụng,10
7,Dế Mèn Phiêu Lưu Ký,Tô Hoài,15
8,Đắc Nhân Tâm,Dale Carnegie,20
9,Lão Hạc,Nam Cao,12
10,Learning Python,Mark Lutz,8
11,"Tôi Thấy Hoa Vàng Trên Cỏ Xanh",Nguyễn Nhật Ánh,18
